nameID,relatedNameID,type,referenceID,remarks
634,635,basionym,1305,
652,653,basionym,582,
665,666,basionym,1237,
612,613,basionym,176,
625,626,basionym,1189,
763,764,basionym,1826,
787,788,basionym,591,
827,828,basionym,1882,
875,876,basionym,176,
975,976,basionym,1882,
622,623,basionym,176,
1079,1080,basionym,1771,
661,662,basionym,176,
684,685,basionym,511,
852,853,basionym,591,
692,693,basionym,1189,
857,858,basionym,402,
701,702,basionym,1189,
703,704,basionym,176,
707,708,basionym,305,
713,714,basionym,1163,
720,721,basionym,176,
724,725,basionym,176,
748,749,basionym,585,
755,756,basionym,176,
761,762,basionym,176,
766,767,basionym,585,
783,784,basionym,398,
790,791,basionym,591,
829,830,basionym,1207,
840,841,basionym,176,
906,907,basionym,176,
917,918,basionym,176,
981,982,basionym,176,
1004,1005,basionym,176,
1057,1058,basionym,1163,
1083,1084,basionym,,
1104,1105,basionym,1165,
1114,1115,basionym,176,
1119,1120,basionym,177,
1123,1124,basionym,1165,
1127,1128,basionym,178,
598,599,basionym,1165,
618,619,basionym,176,
806,807,basionym,1771,
823,824,basionym,1771,
887,888,basionym,176,
997,998,basionym,176,
1011,1012,basionym,176,
1034,1035,basionym,1163,
1102,1103,basionym,1165,
1125,1126,basionym,176,
971,972,basionym,1199,
583,584,basionym,1214,
585,586,basionym,1772,
589,590,basionym,48,
600,601,basionym,604,
669,670,basionym,1205,
711,712,basionym,,
1207,1208,basionym,1218,
1210,1211,basionym,1216,
1217,1218,basionym,719,
1213,1214,basionym,1189,
774,775,basionym,1199,
512,513,basionym,1772,
1065,1066,basionym,1203,
1070,1071,basionym,1207,
1106,1107,basionym,1189,
606,607,basionym,1191,
2829,607,basionym,1895,
2828,1454,basionym,1895,
649,650,basionym,1496,
705,706,basionym,1191,
817,818,basionym,1212,
838,839,basionym,1199,
1077,1078,basionym,1764,
792,793,basionym,1382,
800,801,basionym,1252,
802,803,basionym,1189,
842,843,basionym,481,
909,910,basionym,481,
1023,1024,basionym,1258,
1052,1053,basionym,1189,
892,893,basionym,219,
715,716,basionym,693,
1178,1179,basionym,1654,
1196,1197,basionym,1113,
1158,1159,basionym,1451,
1167,1168,basionym,1110,
1175,1176,basionym,1131,
517,518,basionym,1790,
630,631,basionym,729,
808,809,basionym,729,
1017,1018,basionym,729,
938,939,basionym,729,
942,943,basionym,1884,
955,956,basionym,1884,
958,959,basionym,1781,
995,996,basionym,1884,
1021,1022,basionym,1189,
1086,1087,basionym,1553,
555,556,basionym,1189,
1098,1099,basionym,,
1136,1137,basionym,1237,
1169,1170,basionym,1771,
658,659,basionym,586,
1155,1156,basionym,591,
1173,1174,basionym,1771,
1184,1185,basionym,1883,
632,633,basionym,591,
681,682,basionym,813,
1160,1161,basionym,592,
1165,1166,basionym,,
1189,1190,basionym,1771,
1036,1037,basionym,586,
655,656,basionym,684,
914,915,basionym,693,
904,905,basionym,693,
934,935,basionym,692,
542,543,basionym,1091,
521,522,basionym,1219,
519,520,basionym,226,
540,541,basionym,233,
470,471,basionym,,
449,450,basionym,1305,
462,463,basionym,1189,
464,465,basionym,1189,
486,487,basionym,1305,
498,499,basionym,1884,
529,530,basionym,176,
494,495,basionym,814,
443,444,basionym,1297,
482,483,basionym,814,
476,477,basionym,1771,
453,454,basionym,1771,
2470,2471,basionym,983,
2460,2461,basionym,438,
2458,2459,basionym,,
2462,2463,basionym,,
2480,2481,basionym,1654,
2475,2476,basionym,531,
2742,2743,basionym,437,
2749,2750,basionym,383,
2735,2736,basionym,,
2732,2733,basionym,1855,
2746,2747,basionym,1182,
2725,2726,basionym,72,
2727,2728,basionym,,
2730,2731,basionym,72,
2740,2741,basionym,,
2601,2602,basionym,472,
2604,2605,basionym,1226,
2541,2542,basionym,472,
2578,2579,basionym,1091,
2589,2590,basionym,1690,
2516,2518,basionym,1871,
2551,2552,basionym,1872,
2576,2577,basionym,1110,
2535,2536,basionym,1455,
2529,2530,basionym,,
2573,2574,basionym,1179,
2570,2571,basionym,1787,
2522,2523,basionym,1787,
2520,2521,basionym,72,
2524,2525,basionym,,
2513,2514,basionym,383,
2527,2528,basionym,,
2532,2533,basionym,72,
2777,2778,basionym,72,
2773,2774,basionym,1606,
2779,2780,basionym,,
2763,2764,basionym,1871,
2761,2762,basionym,74,
2753,2754,basionym,983,
2775,2776,basionym,1457,
2755,2756,basionym,72,
2759,2760,basionym,1226,
2771,2772,basionym,72,
2710,2711,basionym,1207,
2707,2708,basionym,99,
2714,2715,basionym,764,
2717,2718,basionym,775,
2720,2721,basionym,775,
2704,2705,basionym,1883,
2507,2508,basionym,1763,
2509,2510,basionym,1662,
2683,2684,basionym,1091,
2648,2649,basionym,1654,
2596,2597,basionym,1303,
2594,2595,basionym,112,
2641,2642,basionym,1189,
2663,2664,basionym,1763,
2670,2671,basionym,,
2654,2655,basionym,1763,
2680,2681,basionym,1382,
2677,2678,basionym,1574,
2633,2634,basionym,1624,
2645,2646,basionym,1763,
2672,2673,basionym,1763,
2619,2620,basionym,1875,
2689,2690,basionym,1189,
2625,2626,basionym,,
2630,2631,basionym,226,
2659,2660,basionym,226,
2693,2694,basionym,226,
2667,2668,basionym,48,
2628,2629,basionym,1763,
2637,2638,basionym,,
2698,2699,basionym,,
2722,2723,basionym,586,
2485,2486,basionym,1189,
10,11,basionym,1245,
12,13,basionym,601,
1799,1800,basionym,1189,
2360,2361,basionym,752,
1394,1395,basionym,752,
347,348,basionym,1460,
1015,1016,basionym,270,
2591,2592,basionym,,
394,395,basionym,759,
1668,1669,basionym,763,
1355,1356,basionym,,
1192,1193,basionym,764,
47,48,basionym,1455,
2424,2425,basionym,774,
500,501,basionym,766,
1199,1200,basionym,766,
177,178,replacement name,40,
1571,2819,replacement name,499,
1659,2827,later homonym,,homonym
2830,543,basionym,,
2845,363,basionym,,
